code,test_code,question_type,skill,level,mistake_category_code,prompt_de,explanation_tr,difficulty
P26,PLACEMENT,MULTIPLE_CHOICE,GRAMMAR,A1,IMPERATIV,___ bitte langsam!,"sprechen fiilinin du emri: Sprich (sesli harf değişir, -e düşer).",3
P27,PLACEMENT,MULTIPLE_CHOICE,GRAMMAR,A2,PRAETERITUM,Gestern ___ ich krank.,"sein fiilinin Präteritum hâli: ich war.",3
P28,PLACEMENT,MULTIPLE_CHOICE,GRAMMAR,A2,PRAETERITUM,Als Kind ___ ich viel Zeit.,"haben fiilinin Präteritum hâli: ich hatte.",4
P29,PLACEMENT,MULTIPLE_CHOICE,GRAMMAR,A2,WECHSELPRAEPOSITIONEN,Das Buch liegt auf ___ Tisch.,"Wo? sorusuna cevap veriyorsa Dativ: auf dem Tisch.",4
P30,PLACEMENT,MULTIPLE_CHOICE,GRAMMAR,A2,WECHSELPRAEPOSITIONEN,Ich lege das Buch auf ___ Tisch.,"Wohin? sorusuna cevap veriyorsa Akkusativ: auf den Tisch.",4
P31,PLACEMENT,MULTIPLE_CHOICE,GRAMMAR,A2,NEBENSATZ,"Ich bleibe zu Hause, weil ich krank ___.","weil yan cümlesinde çekimli fiil en sona gider.",4
P32,PLACEMENT,MULTIPLE_CHOICE,GRAMMAR,A2,NEBENSATZ,"Ich weiß, dass er morgen ___.","dass yan cümlesinde fiil sondadır ve özne tekrarlanmaz.",4
P33,PLACEMENT,MULTIPLE_CHOICE,GRAMMAR,A2,NEBENSATZ,"___ es regnet, bleiben wir zu Hause.","Koşul için wenn kullanılır: eğer yağmur yağarsa.",5
P34,PLACEMENT,MULTIPLE_CHOICE,GRAMMAR,A2,KOMPARATIV,Mein Bruder ist ___ als ich.,"Karşılaştırmada -er eki; alt sesli harf değiştirir: älter.",3
P35,PLACEMENT,MULTIPLE_CHOICE,GRAMMAR,A2,REFLEXIV,Ich freue ___ auf das Wochenende.,"sich freuen dönüşlüdür; ich için Akkusativ zamiri mich.",4
P36,PLACEMENT,MULTIPLE_CHOICE,GRAMMAR,A2,ADJEKTIVDEKLINATION,Ich habe einen ___ Wagen gekauft.,"Belirsiz artikel eril Akkusativ'den sonra sıfat -en alır.",5
P37,PLACEMENT,MULTIPLE_CHOICE,GRAMMAR,A2,KONJUNKTIV2,___ Sie mir bitte helfen?,"Nezaket için Konjunktiv II: Könnten Sie ...?",4
P38,PLACEMENT,MULTIPLE_CHOICE,VOCAB,A1,WORTSCHATZ,"Ich gehe zum Arzt, weil ich ___ bin.","Doktora hasta olunca gidilir: krank.",2
P39,PLACEMENT,MULTIPLE_CHOICE,VOCAB,A2,WORTSCHATZ,Der Zug hat 20 Minuten ___.,"Gecikme: die Verspätung.",3
